predicted_for_hour,pred_q10,pred_q50,pred_q90,timestamp_predicted_at,actual_hoep
2025-12-23 14:00:00,50.91,66.02,116.89,2025-12-23 12:56:00,45.67
2025-12-23 15:00:00,46.24,51.96,99.61,2025-12-23 13:56:06,39.76
2025-12-23 16:00:00,39.79,47.76,93.66,2025-12-23 14:56:04,40.97
2025-12-23 17:00:00,31.7,43.25,88.43,2025-12-23 15:55:59,38.52
2025-12-23 18:00:00,33.13,44.25,91.02,2025-12-23 16:55:59,32.15
2025-12-23 19:00:00,27.83,40.3,87.23,2025-12-23 17:55:57,37.97
2025-12-23 20:00:00,16.07,31.18,84.33,2025-12-23 18:55:57,37.23
2025-12-23 21:00:00,19.0,34.33,93.39,2025-12-23 19:56:00,31.65
2025-12-23 22:00:00,11.14,32.36,95.84,2025-12-23 20:55:58,27.08
2025-12-23 23:00:00,4.34,25.67,94.44,2025-12-23 21:56:02,16.2
2025-12-24 00:00:00,3.55,23.67,94.1,2025-12-23 22:56:03,23.55
2025-12-24 01:00:00,2.6,19.55,89.26,2025-12-23 23:56:02,26.4
2025-12-24 02:00:00,2.75,22.25,96.42,2025-12-24 00:55:58,38.88
2025-12-24 03:00:00,6.35,27.62,101.26,2025-12-24 01:56:01,31.28
2025-12-24 04:00:00,17.85,45.62,112.9,2025-12-24 02:56:00,33.54
2025-12-24 05:00:00,15.79,43.28,112.25,2025-12-24 03:56:03,26.67
2025-12-24 06:00:00,21.18,48.22,119.5,2025-12-24 04:56:06,45.88
2025-12-24 07:00:00,22.65,45.3,120.26,2025-12-24 05:55:59,46.39
2025-12-24 08:00:00,37.25,59.02,133.83,2025-12-24 06:55:59,50.8
2025-12-24 09:00:00,40.83,58.47,132.89,2025-12-24 07:55:59,47.26
2025-12-24 10:00:00,44.63,60.22,133.85,2025-12-24 08:55:55,54.26
2025-12-24 11:00:00,43.24,58.9,128.67,2025-12-24 09:56:00,47.14
2025-12-24 12:00:00,48.09,62.24,130.59,2025-12-24 10:56:06,42.83
2025-12-24 13:00:00,39.2,57.04,115.76,2025-12-24 11:55:56,46.63
2025-12-24 14:00:00,38.5,54.02,111.84,2025-12-24 12:55:54,
2025-12-24 15:00:00,44.71,56.77,113.16,2025-12-24 13:55:51,
