timestamp,hour,interval,demand_MW,temp_C,humidity_%,wind_mps,zonal_price
2025-08-08 08:36:10,4,8,16673.7,21.6,79,9.7,13.71
2025-08-08 08:50:58,4,11,16710.7,21.6,79,9.7,13.88
2025-08-08 05:29:55,5,7,17479.4,18.2,95,5.0,32.39
2025-08-08 05:30:10,5,7,17479.4,18.2,95,5.0,32.39
2025-08-08 05:30:29,5,7,17479.4,18.2,95,5.0,32.39
2025-08-08 09:35:03,5,8,17495.4,23.6,70,12.2,32.38
2025-08-08 09:50:01,5,11,17703.2,23.6,70,12.2,32.39
2025-08-08 09:58:14,5,12,17937.5,23.6,70,12.2,32.59
2025-08-08 06:02:35,6,1,18012.9,18.2,95,4.8,27.65
2025-08-08 06:05:12,6,1,18012.9,18.2,95,4.8,27.65
2025-08-08 06:07:03,6,2,18216.0,18.2,95,4.8,29.72
2025-08-08 06:59:40,7,1,18267.3,19.0,91,4.4,22.51
2025-08-08 07:54:25,7,11,19373.2,19.9,86,7.9,37.31
2025-08-08 09:29:30,9,6,19896.0,23.8,65,12.9,30.57
2025-08-08 10:01:24,10,1,20280.7,25.8,59,14.8,34.36
2025-08-08 10:58:36,10,12,20742.0,26.0,58,15.1,41.41
2025-08-08 11:58:08,11,8,20962.7,26.8,60,13.5,35.38
2025-08-08 12:58:45,12,12,22316.1,27.5,64,12.4,81.2
2025-08-08 13:53:58,13,11,22361.9,28.4,57,17.4,139.01
2025-08-08 15:00:25,14,12,22435.3,29.5,52,16.2,110.12
2025-08-08 15:54:33,15,11,22469.7,29.5,52,16.2,121.67
2025-08-08 16:56:11,16,11,22586.4,28.8,54,18.7,61.16
2025-08-08 17:54:37,17,12,22232.1,28.7,48,17.7,46.64
2025-08-08 18:24:43,18,5,22218.1,28.6,45,20.2,66.48
